first_last_name,student_id,score
Boston Pruitt,50922,27
Andres Rhodes,50714,36
Fiona Faulkner,50483,50
Rashad Moyer,50104,47
Ross Mcguire,50973,22
Destiny Kemp,50107,31
Zander Barron,50793,28
Mattie Webster,50232,31
Molly Rocha,50410,43
Stephany Grimes,50712,46
Gianna Morrow,50322,42
Gina Montgomery,50420,49
Damaris Boyle,50179,31
Annika Cherry,50567,33
Dania Moran,50970,40
Ezekiel Chapman,50593,34
Leanna Reese,50912,28
Neveah Ayers,50500,30
Chasity Curtis,50552,39
Ryann Shepherd,50204,26
Kendall Shepherd,50596,26
Davin Mclaughlin,50323,30
London Conway,50975,23
Ronnie Braun,50436,23
Lily Reyes,50201,23
Kelsie Arias,50516,26
Ansley Baird,50505,34
Alison Downs,50266,28
Ibrahim Dickerson,50587,42
Alexus Brock,50154,42
Landen Bradley,50471,37
Hope Torres,50305,40
Kyla Griffith,50713,40
Dax Villa,50702,21
Dax Stephens,50623,27
Laci Shepard,50864,43
Adolfo Tapia,50332,42
Tyler Benitez,50374,42
Daniella Ball,50627,34
Reynaldo Turner,50966,36
Issac Allison,50780,29
Samson Abbott,50272,41
Jovani Pittman,50999,37
Aidyn Rojas,50835,24
Amya English,50151,49
Amya Choi,50384,34
